Moneda,Valor
Oficial,365.5,2023-10-25 22:44:01
Solidario,731.0,2023-10-25 22:44:01
Blue,1000.0,2023-10-25 22:44:01
Ccb,911.38,2023-10-25 22:44:01
Mep,889.14,2023-10-25 22:44:01
Mepal30ci,866.92,2023-10-25 22:44:01
Mepgd30,885.54,2023-10-25 22:44:01
Mepgd30ci,852.34,2023-10-25 22:44:01
Ccl,891.89,2023-10-25 22:44:01
Cclal30,906.58,2023-10-25 22:44:01
Cclal30ci,885.25,2023-10-25 22:44:01
Cclgd30,821.86,2023-10-25 22:44:01
Cclgd30ci,812.63,2023-10-25 22:44:01
Blue_bid,950.0,2023-10-25 22:44:01
Qatar,731.0,2023-10-25 22:44:01
Mepal30,889.14,2023-10-25 22:44:01
Oficial,365.5,2023-10-25 22:50:00
Solidario,731.0,2023-10-25 22:50:00
Blue,1000.0,2023-10-25 22:50:00
Ccb,912.5,2023-10-25 22:50:00
Mep,889.14,2023-10-25 22:50:00
Mepal30ci,866.92,2023-10-25 22:50:00
Mepgd30,885.54,2023-10-25 22:50:00
Mepgd30ci,852.34,2023-10-25 22:50:00
Ccl,891.89,2023-10-25 22:50:00
Cclal30,906.58,2023-10-25 22:50:00
Cclal30ci,885.25,2023-10-25 22:50:00
Cclgd30,821.86,2023-10-25 22:50:00
Cclgd30ci,812.63,2023-10-25 22:50:00
Blue_bid,950.0,2023-10-25 22:50:00
Qatar,731.0,2023-10-25 22:50:00
Mepal30,889.14,2023-10-25 22:50:00
Oficial,365.5,2023-10-25 22:55:01
Solidario,731.0,2023-10-25 22:55:01
Blue,1000.0,2023-10-25 22:55:01
Ccb,911.39,2023-10-25 22:55:01
Mep,889.14,2023-10-25 22:55:01
Mepal30ci,866.92,2023-10-25 22:55:01
Mepgd30,885.54,2023-10-25 22:55:01
Mepgd30ci,852.34,2023-10-25 22:55:01
Ccl,891.89,2023-10-25 22:55:01
Cclal30,906.58,2023-10-25 22:55:01
Cclal30ci,885.25,2023-10-25 22:55:01
Cclgd30,821.86,2023-10-25 22:55:01
Cclgd30ci,812.63,2023-10-25 22:55:01
Blue_bid,950.0,2023-10-25 22:55:01
Qatar,731.0,2023-10-25 22:55:01
Mepal30,889.14,2023-10-25 22:55:01
